JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit,Vadu,Cadu,C2adu
2458725.34861,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9955,24344,7750
2458726.35972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,11225,25652,7955
2458732.33333,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,7255,24248,7557
2458735.32501,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,8461,22493,7206    
2458737.33055,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,6756,24692,7686
2458739.32847,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9059,25500,8039
2458741.31110,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,3639,24665,7666
2458742.30763,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,4661,26771,8515
2458744.30972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,7711,25327,8108
2458745.30972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9129,25349,8322
2458746.30694,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9940,25102,7946
2458747.30625,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,7621,25294,7817
2458749.30001,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,8501,24522,7472




